Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Luka Doncic",20.6,DAL,Wing,1573,100,"41.4%",81,119.5,100,"45.4%",93,1.10,23,"13.5%"
"Luguentz Dort",20.5,OKC,Wing,518,18,"12.3%",35,105.7,4,"4.1%",6,0.33,77,"9.2%"
"Damyean Dotson",25.4,NYK,Wing,740,48,"15.7%",44,108.2,55,"10.8%",64,0.68,95,"6.6%"
"Sekou Doumbouya",18.8,DET,Forward,617,48,"15.6%",16,96.7,1,"3.3%",0,0.22,28,"13.4%"
"PJ Dozier",23.0,DEN,Wing,208,66,"18.5%",17,97.4,78,"15.1%",81,0.82,53,"11.0%"
"Goran Dragic",33.4,MIA,Point,1354,72,"27.3%",78,116.4,52,"29.3%",37,1.08,37,"14.0%"
"Andre Drummond",26.2,CLE,Big,153,95,"25.8%",30,109.6,80,"12.6%",37,0.49,7,"20.9%"
"Andre Drummond",26.2,DET,Big,1635,94,"24.4%",32,110.0,84,"13.3%",46,0.55,11,"18.7%"
"Jared Dudley",34.3,LAL,Big,229,2,"8.4%",62,120.0,49,"8.4%",95,1.00,87,"9.5%"
"Kris Dunn",25.6,CHI,Point,1254,4,"16.5%",22,103.6,13,"20.1%",63,1.22,33,"14.3%"
"Carsen Edwards",21.6,BOS,Combo,231,28,"17.6%",3,83.9,13,"11.7%",16,0.67,90,"9.3%"
"Wayne Ellington",31.9,NYK,Combo,424,10,"15.1%",26,99.3,7,"9.6%",10,0.63,74,"10.8%"
"Joel Embiid",25.6,PHI,Big,1299,99,"31.8%",55,117.4,94,"18.3%",54,0.58,52,"13.6%"
"James Ennis",29.3,ORL,Wing,155,28,"13.6%",60,112.5,8,"5.1%",8,0.37,44,"11.9%"
"James Ennis",29.3,PHI,Wing,749,36,"14.4%",63,113.3,19,"6.8%",20,0.47,41,"11.9%"
"Jacob Evans",22.3,GSW,Wing,377,56,"17.1%",2,83.7,62,"11.5%",59,0.67,31,"13.0%"
"Dante Exum",24.3,CLE,Wing,382,44,"15.2%",86,121.1,64,"12.0%",79,0.79,11,"14.8%"
"Derrick Favors",28.2,NOP,Big,953,21,"13.2%",81,128.3,63,"9.9%",81,0.75,26,"15.6%"
"Cristiano Felicio",27.3,CHI,Big,373,4,"9.2%",90,134.4,8,"4.9%",42,0.53,5,"22.4%"
"Terrance Ferguson",21.4,OKC,Wing,1083,0,"8.8%",30,104.2,12,"5.5%",50,0.62,25,"13.5%"
"Bruno Fernando",21.2,ATL,Big,582,42,"15.2%",49,116.1,63,"9.9%",67,0.65,13,"18.0%"
"Yogi Ferrell",26.4,SAC,Point,428,22,"19.3%",20,103.3,7,"17.5%",11,0.91,72,"11.4%"
"Dorian Finney-Smith",26.4,DAL,Forward,1775,9,"12.0%",76,118.2,30,"6.7%",55,0.56,48,"11.6%"
"Bryn Forbes",26.2,SAS,Wing,1437,61,"17.7%",61,112.8,45,"9.8%",36,0.55,76,"9.2%"
"Evan Fournier",27.0,ORL,Wing,1858,88,"24.1%",84,120.9,84,"16.4%",61,0.68,49,"11.5%"
