Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"Darvin Ham",30.2,DET,Forward,404,12,"66.7%",0,"0.0%",0,"0.0%",0,""
"Richard Hamilton",25.7,DET,Wing,2769,92,"86.7%",0,"0.0%",0,"0.0%",0,""
"Zendon Hamilton",28.5,PHI,Big,440,73,"75.6%",0,"0.0%",0,"0.0%",0,""
"Ben Handlogten",29.9,UTA,Big,160,"","69.6%",0,"0.0%",0,"0.0%",0,""
"Travis Hansen",25.5,ATL,Wing,441,"","72.2%",0,"0.0%",0,"0.0%",0,""
"Anfernee Hardaway",32.2,NYK,Wing,1200,47,"77.5%",0,"0.0%",0,"0.0%",0,""
"Anfernee Hardaway",32.2,PHX,Wing,868,90,"85.7%",0,"0.0%",0,"0.0%",0,""
"Matt Harpring",27.4,UTA,Forward,1129,20,"68.4%",0,"0.0%",0,"0.0%",0,""
"Al Harrington",23.7,IND,Forward,2381,34,"73.5%",0,"0.0%",0,"0.0%",0,""
"Othella Harrington",29.7,NYK,Forward,807,44,"74.3%",0,"0.0%",0,"0.0%",0,""
"Lucious Harris",32.8,BKN,Combo,1470,82,"84.6%",0,"0.0%",0,"0.0%",0,""
"Jason Hart",25.5,SAS,Point,572,92,"88.9%",0,"0.0%",0,"0.0%",0,""
"Donnell Harvey",23.1,ORL,Forward,337,10,"64.9%",0,"0.0%",0,"0.0%",0,""
"Donnell Harvey",23.1,PHX,Big,425,88,"79.5%",0,"0.0%",0,"0.0%",0,""
"Udonis Haslem",23.3,MIA,Big,1765,78,"76.5%",0,"0.0%",96,"0.1%",0,""
"Trenton Hassell",24.6,MIN,Wing,2233,55,"78.7%",0,"0.0%",0,"0.0%",0,""
"Jarvis Hayes",22.2,WAS,Wing,1976,51,"78.4%",0,"0.0%",0,"0.0%",0,""
"Brendan Haywood",23.9,WAS,Big,1471,18,"58.7%",0,"0.0%",0,"0.0%",0,""
"Nene Hilario",21.1,DEN,Big,2505,42,"68.0%",0,"0.0%",0,"0.0%",0,""
"Kirk Hinrich",22.8,CHI,Point,2678,48,"80.4%",0,"0.0%",0,"0.0%",0,""
"Fred Hoiberg",31.0,MIN,Wing,1740,88,"85.1%",0,"0.0%",0,"0.0%",0,""
"Robert Horry",33.1,SAS,Big,1256,31,"64.5%",0,"0.0%",0,"0.0%",0,""
"Eddie House",25.4,LAC,Point,1141,40,"78.6%",0,"0.0%",0,"0.0%",0,""
"Allan Houston",32.5,NYK,Wing,1789,98,"91.3%",0,"0.0%",0,"0.0%",0,""
"Josh Howard",23.5,DAL,Wing,1525,17,"70.6%",0,"0.0%",0,"0.0%",0,""
"Juwan Howard",30.7,ORL,Big,2877,90,"80.9%",0,"0.0%",84,"0.0%",0,""
"Troy Hudson",27.6,MIN,Point,498,60,"81.8%",0,"0.0%",0,"0.0%",0,""
"Larry Hughes",24.7,WAS,Wing,2061,60,"79.6%",0,"0.0%",0,"0.0%",0,""
"Brandon Hunter",22.9,BOS,Big,367,3,"47.4%",0,"0.0%",0,"0.0%",0,""
"Lindsey Hunter",32.9,DET,Combo,588,"","50.0%",0,"0.0%",0,"0.0%",0,""
"Steven Hunter",22.0,ORL,Big,734,0,"35.8%",0,"0.0%",0,"0.0%",0,""
"Zydrunas Ilgauskas",28.4,CLE,Big,2539,67,"74.6%",0,"0.0%",0,"0.0%",0,""
"Allen Iverson",28.4,PHI,Combo,2037,26,"74.2%",0,"0.0%",0,"0.0%",0,""
"Bobby Jackson",30.6,SAC,Combo,1140,29,"74.5%",0,"0.0%",0,"0.0%",0,""
"Jim Jackson",33.0,HOU,Wing,3114,83,"84.3%",0,"0.0%",0,"0.0%",0,""
"Marc Jackson",28.7,PHI,Big,585,89,"80.0%",0,"0.0%",0,"0.0%",0,""
"Mark Jackson",38.5,HOU,Point,555,15,"71.8%",0,"0.0%",0,"0.0%",0,""
