Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"Marc Gasol",34.7,TOR,Big,966,52,"1.7%",58,"1.2%",45,"4.2%",12,"3.2%",52,"17.6%",0,"0.0%",52,"29.4%"
"Rudy Gay",33.2,SAS,Big,1149,28,"1.1%",30,"0.9%",92,"2.6%",22,"4.1%",58,"18.6%",77,"5.5%",69,"36.2%"
"Paul George",29.5,LAC,Wing,1064,75,"0.9%",85,"1.9%",66,"2.8%",28,"1.4%",95,"17.6%",0,"0.0%",59,"8.9%"
"Taj Gibson",34.3,NYK,Big,914,36,"1.4%",51,"1.1%",41,"4.3%",76,"10.3%",33,"15.6%",87,"7.3%",36,"24.5%"
"Harry Giles",21.5,SAC,Big,461,37,"1.4%",79,"1.5%",4,"7.1%",41,"6.4%",85,"22.0%",0,"0.0%",92,"52.0%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2096,78,"1.0%",55,"1.3%",99,"1.8%",50,"2.2%",86,"14.1%",91,"3.1%",99,"40.7%"
"Rudy Gobert",27.3,UTA,Big,1972,82,"2.8%",24,"0.9%",71,"3.3%",84,"11.5%",97,"28.4%",48,"1.7%",78,"39.0%"
"Brandon Goodwin",24.0,ATL,Combo,351,44,"0.4%",38,"1.2%",7,"4.4%",41,"1.9%",92,"14.2%",0,"0.0%",89,"11.1%"
"Aaron Gordon",24.1,ORL,Forward,1772,60,"0.9%",31,"1.0%",91,"2.2%",87,"5.2%",88,"17.4%",54,"1.1%",69,"25.7%"
"Eric Gordon",30.8,HOU,Wing,896,44,"0.5%",26,"1.0%",70,"2.7%",6,"0.8%",3,"5.4%",70,"1.4%",42,"5.9%"
"Devonte' Graham",24.6,CHA,Point,2009,41,"0.4%",26,"1.2%",78,"2.2%",46,"2.0%",30,"8.3%",72,"0.8%",52,"3.8%"
"Treveon Graham",26.0,ATL,Forward,161,84,"1.2%",33,"1.0%",1,"5.8%",100,"8.2%",37,"11.6%",0,"0.0%",15,"9.1%"
"Treveon Graham",26.0,MIN,Forward,626,1,"0.2%",37,"1.1%",24,"4.1%",78,"4.5%",15,"9.7%",0,"0.0%",43,"14.7%"
"Jerami Grant",25.6,DEN,Big,1487,46,"1.6%",52,"1.1%",78,"3.0%",13,"3.3%",3,"10.2%",44,"1.4%",6,"10.5%"
"Danny Green",32.3,LAL,Wing,1391,77,"0.9%",90,"2.0%",44,"3.3%",70,"2.9%",40,"10.0%",80,"2.1%",68,"11.4%"
"Draymond Green",29.6,GSW,Forward,1219,90,"1.4%",90,"2.1%",31,"3.8%",15,"1.9%",94,"18.3%",0,"0.0%",99,"41.1%"
"JaMychal Green",29.3,LAC,Big,974,22,"0.9%",41,"1.0%",31,"4.8%",33,"5.6%",69,"20.4%",79,"6.0%",56,"30.3%"
"Javonte Green",26.2,BOS,Wing,288,23,"0.3%",99,"2.7%",15,"4.6%",95,"5.4%",65,"11.7%",0,"0.0%",79,"19.0%"
"Jeff Green",33.1,UTA,Forward,546,58,"0.9%",24,"1.0%",82,"2.6%",33,"2.7%",36,"11.5%",0,"0.0%",18,"10.0%"
